titolo,autore,testo,figure_rilevanti,analisi_metrica
Il lampo,Giovanni Pascoli,"E cielo e terra si mostrò qual era:

la terra ansante, livida, in sussulto;
il cielo ingombro, tragico, disfatto:
bianca bianca nel tacito tumulto
una casa apparì sparì d’un tratto;
come un occhio, che, largo, esterrefatto,
s’aprì si chiuse, nella notte nera.","climax, similitudine, allitterazione","Ballata piccola di endecasillabi, schema di rime A BCBCCA."
Il tuono,Giovanni Pascoli,"E nella notte nera come il nulla,

a un tratto, col fragor d’arduo dirupo
che frana, il tuono rimbombò di schianto:
rimbombò, rimbalzò, rotolò cupo,
e tacque, e poi rimareggiò rinfranto,
e poi vanì. Soave allora un canto
s’udì di madre, e il moto di una culla.","climax, ripetizioni, allitterazione","Ballata piccola di endecasillabi, schema di rime A BCBCCA."
Digitale purpurea,Giovanni Pascoli,"Siedono. L’una guarda l’altra. L’una
esile e bionda, semplice di vesti
e di sguardi; ma l’altra, esile e bruna,

l’altra... I due occhi semplici e modesti
fissano gli altri due ch’ardono. «E mai
non ci tornasti?» «Mai» «Non le vedesti

più?» «Non più, cara» «Io sì: ci ritornai;
e le rividi le mie bianche suore,
e li rivissi i dolci anni che sai;

quei piccoli anni così dolci al cuore...»
L’altra sorrise «E di’: non lo ricordi
quell’orto chiuso? i rovi con le more?

i ginepri tra cui zirlano i tordi?
i bussi amari? quel segreto canto
misterïoso, con quel fiore, fior di...?»

«morte: sì, cara» «Ed era vero? Tanto
io ci credeva che non mai, Rachele,
sarei passata al triste fiore accanto.

Ché si diceva: il fiore ha come un miele
che inebria l’aria; un suo vapor che bagna
l’anima d’un oblìo dolce e crudele.

Oh! quel convento in mezzo alla montagna
cerulea!» Maria parla: una mano
posa su quella della sua compagna;

e l’una e l’altra guardano lontano.

Vedono. Sorge nell’azzurro intenso
del ciel di maggio il loro monastero,
pieno di litanie, pieno d’incenso.

Vedono; e si profuma il lor pensiero
d’odor di rose e di viole a ciocche,
di sentor d’innocenza e di mistero.

E negli orecchio ronzano, alle bocche
salgono melodie, dimenticate,
là, da tastiere appena appena tocche...

Oh! quale vi sorrise oggi, alle grate,
ospite caro? onde più rosse e liete
tornaste alle sonanti camerate

oggi: ed oggi, più alto, Ave, ripete,
Ave Maria, la vostra voce in coro;
e poi d’un tratto (perché mai?) piangete...

Piangono, un poco, nel tramonto d’oro,
senza perché. Quante fanciulle sono
nell’orto, bianco qua e là di loro!

Bianco e ciarliero. Ad or ad or, col suono
di vele al vento, vengono. Rimane
qualcuna, e legge in un suo libro buono.

In disparte da loro agili e sane,
una spiga di fiori, anzi di dita
spruzzolate di sangue, dita umane,

l’alito ignoto spande di sua vita.

«Maria!» «Rachele!» Un poco più le mani
si premono. In quell’ora hanno veduto
la fanciulezza, i cari anni lontani.

Memorie (l’una sa dell’altra al muto
premere) dolci, come è tristo e pio
il lontanar d’un ultimo saluto!

«Maria!» «Rachele!» Questa piange, «Addio!»
dice tra sé, poi volta la parola
grave a Maria, ma i neri occhi no: «Io,»

mormora, «sì, sentii quel fiore. Sola
ero con le cetonie verdi. Il vento
portava odor di rose e di viole a

ciocche. Nel cuore, il languido fermento
d’un sogno che notturno arse e che s’era
all’alba, nell’ignara anima, spento.

Maria, ricordo quella greve sera.
L’aria soffiava luce di baleni
silenzïosi. M’inoltrai leggiera,

cauta, su per i molli terrapieni
erbosi. I piedi mi tenea la folta
erba. Sorridi? E dirmi sentia, Vieni!

Vieni! E fu molta la dolcezza! molta!
tanta, che, vedi... (l’altra lo stupore
alza degli occhi, e vede ora, ed ascolta

con un suo lungo brivido...) si muore!»","enjambement, ossimoro, ripetizioni, iperbato, allitterazioni","Tre strofe formate ciascuna da otto terzine dantesche (ABA BCB CDC...) più un verso isolato in rima con il secondo verso dell'ultima terzina."
La Poesia,Giovanni Pascoli,"Io sono una lampada ch'arda
soave!
la lampada, forse, che guarda,
pendendo alla fumida trave,
la veglia che fila;

e ascolta novelle e ragioni
da bocche
celate nell'ombra, ai cantoni,
là dietro le soffici rócche
che albeggiano in fila:

ragioni, novelle, e saluti
d'amore, all'orecchio, confusi:
gli assidui bisbigli perduti
nel sibilo assiduo dei fusi;
le vecchie parole sentite
da presso con palpiti nuovi,
tra il sordo rimastico mite
dei bovi:

la lampada, forse, che a cena
raduna;
che sboccia sul bianco, e serena
su l'ampia tovaglia sta, luna
su prato di neve;

e arride al giocondo convito;
poi cenna,
d'un tratto, ad un piccolo dito,
là, nero tuttor della penna
che corre e che beve:

ma lascia nell'ombra, alla mensa,
la madre, nel tempo ch'esplora
la figlia più grande che pensa
guardando il mio raggio d'aurora:
rapita nell'aurea mia fiamma
non sente lo sguardo tuo vano;
già fugge, è già, povera mamma,
lontano!

Se già non la lampada io sia,
che oscilla
davanti a una dolce Maria,
vivendo dell'umile stilla
di cento capanne:

raccolgo l'uguale tributo
d'ulivo
da tutta la villa, e il saluto
del colle sassoso e del rivo
sonante di canne:

e incende, il mio raggio, di sera,
tra l'ombra di mesta viola,
nel ciglio che prega e dispera,
la povera lagrima sola;
e muore, nei lucidi albori,
tremando, il mio pallido raggio,
tra cori di vergini e fiori
di maggio:

o quella, velata, che al fianco
t'addita
la donna più bianca del bianco
lenzuolo, che in grembo, assopita,
matura il tuo seme;

o quella che irraggia una cuna
- la barca
che, alzando il fanal di fortuna,
nel mare dell'essere varca,
si dondola, e geme -;

o quella che illumina tacita
tombe profonde - con visi
scarniti di vecchi; tenaci
di vergini bionde sorrisi;
tua madre!... nell'ombra senz'ore,
per te, dal suo triste riposo,
congiunge le mani al suo cuore
già róso! -

Io sono la lampada ch'arde
soave!
nell'ore più sole e più tarde,
nell'ombra più mesta, più grave,
più buona, o fratello!

Ch'io penda sul capo a fanciulla
che pensa,
su madre che prega, su culla
che piange, su garrula mensa,
su tacito avello;

lontano risplende l'ardore
mio casto all'errante che trita
notturno, piangendo nel cuore,
la pallida via della vita:
s'arresta; ma vede il mio raggio,
che gli arde nell'anima blando:
riprende l'oscuro viaggio
cantando.","allitterazioni, enjambement, ripetizioni","Pindarica. Cinque parti formate da una strofa di cinque versi (novenario + ternario, due novenari + senario), da un'antistrofe con lo stesso schema, e da un epodo di sette settenari seguiti da un ternario. Schema di rime: ababc, dedec, fhfhhihi."
Nebbia,Giovanni Pascoli,"Nascondi le cose lontane,
tu nebbia impalpabile e scialba,
tu fumo che ancora rampolli,
su l’alba,
da’ lampi notturni e da’ crolli
d’aeree frane!

Nascondi le cose lontane,
nascondimi quello ch’è morto!
Ch’io veda soltanto la siepe
dell’orto,
la mura ch’ha piene le crepe
di valerïane.

Nascondi le cose lontane:
le cose son ebbre di pianto!
Ch’io veda i due peschi, i due meli,
soltanto,
che dànno i soavi lor mieli
pel nero mio pane.

Nascondi le cose lontane
che vogliono ch’ami e che vada!
Ch’io veda là solo quel bianco
di strada,
che un giorno ho da fare tra stanco
don don di campane…

Nascondi le cose lontane,
nascondile, involale al volo
del cuore! Ch’io veda il cipresso
là, solo,
qui, solo quest’orto, cui presso
sonnecchia il mio cane.","ripetizioni, enjambement","Strofe di sei versi: tre novenari + un trisillabo + un novenario + un senario. Il primo verso si ripete ad ogni strofa; schema di rime: abcbca."
Il gelsomino notturno,Giovanni Pascoli,"E s’aprono i fiori notturni,
nell’ora che penso ai miei cari.
Sono apparse in mezzo ai viburni
le farfalle crepuscolari.

Da un pezzo si tacquero i gridi:
là sola una casa bisbiglia.
Sotto l’ali dormono i nidi,
come gli occhi sotto le ciglia.

Dai calici aperti si esala
l’odore di fragole rosse.
Splende un lume là nella sala.
Nasce l’erba sopra le fosse.

Un’ape tardiva sussurra
trovando già prese le celle.
La Chioccetta per l’aia azzurra
va col suo pigolio di stelle.

Per tutta la notte s’esala
l’odore che passa col vento.
Passa il lume su per la scala;
brilla al primo piano: s’è spento...

È l’alba: si chiudono i petali
un poco gualciti; si cova,
dentro l’urna molle e segreta,
non so che felicità nuova.","similitudine,enjambement","Sei quartine di novenari a rima alternata: abab. Nell'ultima quartina è presente una rima ipermetra: pETA(li) - segrETA."
L'ultimo viaggio XIX Il Ciclope,Giovanni Pascoli,"Ecco: ai compagni disse di restare
presso la nave e di guardar la nave.
Ed egli all'antro già movea, soletto,
per lui vedere non veduto, quando
parasse i greggi sufolando al monte.
Ora all'Eroe parlava Iro il pitocco:
	«Ben verrei reco per veder quell'uomo
che tanto mangia, e portar via, se posso,
di sui cannicci, già scolati i caci,
e qualche agnello dai gremiti stabbi.
Poi ch'Iro ha fame. E s'ei dentro ci fosse,
il gran Ciclope, sai ch'Iro è veloce
ben che non forte; è come Iri del cielo
che va sul vento con il piè di vento.»
	L'Eroe sorrise, e insieme i due movendo,
il pitocco e l'Eroe, giunsero all'antro.
Dentro e' non era. Egli pasceva al monte
i pingui greggi. E i due meravigliando
vedean graticci pieni di formaggi,
e gremiti d'agnelli e di capretti
gli stabbi, e separati erano, ognuni
ne' loro, i primaticci, i mezzanelli
e i serotini. E d'uno dei recinti
ecco che uscì, con alla poppa il bimbo,
un'altocinta femmina, che disse:
	«Ospiti, gioia sia con voi. Chi siete?
donde venuti? a cambiar qui, qual merce?
Ma l'uomo è fuori, con la greggia, al monte;
tra poco torna, ché già brucia il sole.
Ma pur mangiate, se il tardar v'è noia.»
	Sorrise ad Iro il vecchio Eroe: poi disse:
«Ospite donna, e pur con te sia gioia.
Ma dunque l'uomo a venerare apprese
gli dei beati, ed ora sa la legge,
benché tuttora abiti le spelonche,
come i suoi pari, per lo scabro monte?»
	E l'altocinta femmina rispose:
«Ospite, ognuno alla sua casa è legge,
e della moglie e de' suoi nati è re.
Ma noi non deprediamo altri: ben altri,
ch'errano in vano su le nere navi,
come ladroni, a noi pecore o capre
hanno predate. Altrui portando il male
rischian essi la vita. Ma voi siete
vecchi, e cercate un dono qui, non prede.»
	Verso Iro il vecchio anche ammiccò: poi disse:
«Ospite donna, ben di lui conosco
quale sia l'ospitale ultimo dono.»
	Ed ecco un grande tremulo belato
s'udì venire, e un suono di zampogna,
e sufolare a pecore sbandate:
e ne' lor chiusi si levò più forte
il vagir degli agnelli e dei capretti.
Ch'egli veniva, e con fragore immenso
depose un grande carico di selva
fuori dell'antro: e ne rintronò l'antro.
E Iro in fondo s'appiattò tremando.","enjambement, iperbati","Endecasillabi sciolti."
Consolazione,Gabriele D'Annunzio,"Non pianger più. Torna il diletto figlio
a la tua casa. È stanco di mentire.
Vieni; usciamo. Tempo è di rifi orire.
Troppo sei bianca: il volto è quasi un giglio.

Vieni; usciamo. Il giardino abbandonato
serba ancora per noi qualche sentiero.
Ti dirò come sia dolce il mistero
che vela certe cose del passato.

Ancóra qualche rosa è ne’ rosai,
ancóra qualche timida erba odora.
Ne l’abbandono il caro luogo ancóra
sorriderà, se tu sorriderai.

Ti dirò come sia dolce il sorriso
di certe cose che l’oblìo affl isse.
Che proveresti tu se ti fi orisse
la terra sotto i piedi, all’improvviso?

Tanto accadrà, ben che non sia d’aprile.
Usciamo. Non coprirti il capo. È un lento
sol di settembre; e ancor non vedo argento
su ’l tuo capo, e la riga è ancor sottile.

Perché ti neghi con lo sguardo stanco?
La madre fa quel che il buon fi glio vuole.
Bisogna che tu prenda un po’ di sole,
un po’ di sole su quel viso bianco.

Bisogna che tu sia forte; bisogna
che tu non pensi a le cattive cose…
Se noi andiamo verso quelle rose,
io parlo piano, l’anima tua sogna.

Sogna, sogna, mia cara anima! Tutto,
tutto sarà come al tempo lontano.
Io metterò ne la tua pura mano
tutto il mio cuore. Nulla è ancor distrutto.

Sogna, sogna! Io vivrò de la tua vita.
In una vita semplice e profonda
io rivivrò. La lieve ostia che monda
io la riceverò da le tue dita.

Sogna, ché il tempo di sognare è giunto.
Io parlo. Di’: l’anima tua m’intende?
Vedi? Ne l’aria fluttua e s’accende
quasi il fantasma d’un april defunto.

Settembre (di’: l’anima tua m’ascolta?)
ha ne l’odore suo, nel suo pallore,
non so, quasi l’odore ed il pallore
di qualche primavera dissepolta.

Sogniamo, poi ch’è tempo di sognare.
Sorridiamo. È la nostra primavera,
questa. A casa, più tardi, verso sera,
vo’ riaprire il cembalo e sonare.

Quanto ha dormito, il cembalo! Mancava,
allora, qualche corda; qualche corda
ancóra manca. E l’ebano ricorda
le lunghe dita ceree de l’ava.

Mentre che fra le tende scolorate
vagherà qualche odore delicato,
(m’odi tu?) qualche cosa come un fiato
debole di viole un po’ passate,

sonerò qualche vecchia aria di danza,
assai vecchia, assai nobile, anche un poco
triste; e il suono sarà velato, fioco,
quasi venisse da quell’altra stanza.

Poi per te sola io vo’ comporre un canto
che ti raccolga come in una cuna,
sopra un antico metro, ma con una
grazia che sia vaga e negletta alquanto.

Tutto sarà come al tempo lontano.
L’anima sarà semplice com’era;
e a te verrà, quando vorrai, leggera
come vien l’acqua al cavo de la mano.","ripetizioni, anafore,similitudini","Quartine di endecasillabi a rime incrociate ABBA."
O falce di luna calante,Gabriele D'Annunzio,"O falce di luna calante
che brilli su l’acque deserte,
o falce d’argento, qual mèsse di sogni
ondeggia al tuo mite chiarore qua giù!

Aneliti brevi di foglie,
sospiri di fiori dal bosco
esalano al mare: non canto non grido
non suono pe ’l vasto silenzio va.

Oppresso d’amor, di piacere,
il popol de’ vivi s’addorme...
O falce calante, qual mèsse di sogni
ondeggia al tuo mite chiarore qua giù!","ripetizioni","Strofe formate da due novenari + due doppi senari."
Laus Vitae Canto I,Gabriele D'Annunzio,"O Vita, o Vita,
dono terribile del dio,
come una spada fedele,
come una ruggente face,
come la gorgóna,
come la centàurea veste;
o Vita, o Vita,
dono d’oblìo,
offerta agreste,
come un’acqua chiara,
come una corona,
come un fiale, come il miele
che la bocca separa
dalla cera tenace;
o Vita, o Vita,
dono dell’Immortale
alla mia sete crudele,
alla mia fame vorace,
alla mia sete e alla mia fame
d’un giorno, non dirò io
tutta la tua bellezza?

Chi t’amò su la terra
con questo furore?
Chi ti attese in ogni
attimo con ansie mai paghe?
Chi riconobbe le tue ore
sorelle de’ suoi sogni?
Chi più larghe piaghe
s’ebbe nella tua guerra?
E chi ferì con daghe
di più sottili tempre?
Chi di te gioì sempre
come s’ei fosse
per dipartirsi?
Ah, tutti i suoi tirsi
il mio desiderio scosse
verso di te, o Vita
dai mille e mille vólti,
a ogni tua apparita,
come un Tìaso di rosse
Tìadi in boschi folti,
tutti i suoi tirsi!","ripetizioni, anafore, similitudini","Strofe lunghe di 21 versi."
